AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.728;0.27;0;0;4727
0.618;0.272;0;0;4961
0.375;0.184;0;0;4915
0.369;0.176;0;0;3183
0.291;0.122;0;0;3401
0.189;0.094;0;0;5008
0.251;0.156;0;0;4634
0.404;0.242;0;0;4088
0.549;0.326;0;0;3355
0.42;0.174;0;0;3230
0.718;0.29;0;0;4821
0.31;0.178;0;0;4930
0.225;0.146;0;0;4712
0.468;0.28;0;0;4634
0.512;0.264;0;0;3261
0.121;0.074;0;0;3277
0.125;0.062;0;0;4977
0.211;0.138;0;0;4119
0.422;0.262;0;0;3401
0.459;0.192;0;0;4618
0.441;0.264;0;0;4805
0.491;0.216;0;0;4930
0.32;0.184;0;0;4868
0.401;0.196;0;0;4774
0.326;0.194;0;0;4821
0.37;0.224;0;0;4961
0.308;0.164;0;0;3230
0.371;0.156;0;0;4852
0.376;0.224;0;0;4899
0.365;0.214;0;0;4634
0.448;0.27;0;0;3230
0.468;0.19;0;0;3214
0.436;0.184;0;0;3261
0.285;0.134;0;0;3245
0.236;0.334;0;0;3011
5.278;2.392;0;0;4103
1.456;0.662;0;0;4883
0.507;0.212;0;0;3261
0.629;0.284;0;0;3230
0.504;0.21;0;0;3230
0.504;0.21;0;0;3011
1.178;1.034;0;0;3011
5.403;2.29;0;0;4883
0.452;0.232;0;0;4759
0.506;0.238;0;0;3245
4.911;2.16;0;0;4993
0.216;0.14;0;0;3230
7.088;2.214;0;0;3277
0.26;0.114;0;0;3261
4.765;2.098;0;0;4852
0.364;0.178;0;0;4977
0.364;0.178;0;0;3245
0.458;0.192;0;0;3245
0.151;0.094;0;0;3370
0.389;0.168;0;0;4103
1.662;0.678;0;0;4665
0.476;0.284;0;0;3245
0.574;0.256;0;0;4072
5.02;2.32;0;0;4946
0.541;0.216;0;0;3214
0.529;0.268;0;0;3199
1.773;1.174;0;0;3230
0.103;0.068;0;0;4899
0.104;0.082;0;0;3183
0.297;0.18;0;0;4930
0.248;0.154;0;0;3230
0.366;0.152;0;0;4961
0.277;0.152;0;0;3214
0.489;0.202;0;0;3261
